iter,time,reward,steps,shape
110,0.049977804000000015,98.58,3.42,2
238,0.03462972399999997,95.71,6.29,3
279,0.045276602000000055,93.0,9.0,4
511,0.08483888999999989,89.87,12.13,5
851,0.2501413399999999,84.87,17.13,7
1334,0.2006035909999997,76.66,25.34,10
2337,0.48427002400000063,62.48,39.52,15
2568,0.9497463580000005,48.54,53.46,20
4518,1.8075637479999997,34.25,67.75,25
4073,2.6371226059999984,21.35,80.65,30
