iter,time,reward,steps,shape
15,0.079358501,98.7,3.3,2
18,0.071606842,96.02,5.98,3
22,0.13732745199999996,93.11,8.89,4
26,0.22543533100000013,90.49,11.51,5
30,0.18487318800000008,85.14,16.86,7
35,0.2581513019999999,76.85,25.15,10
43,0.7186069769999999,64.75,37.25,15
51,1.711225238,51.21,50.79,20
65,3.572073413,37.21,64.79,25
69,4.8370718870000005,23.36,78.64,30
78,8.579986726000001,10.42,91.58,35
90,12.025146492999994,-2.85,104.85,40
107,21.224240037,-30.38,132.38,50
